TIC,our_period,our_classification,score,discovery_category,confidence_95_lower,confidence_95_upper,fetherolf_period,fetherolf_period_error,fetherolf_type,match_type,fractional_diff,within_ci,harmonic_ratio
15833513,0.0212140244264702,ULTRA_SHORT,54,published,0.0195902718586837,0.019590637307311,0.01959,5e-06,Unknown,disagreement,0.07655428285657076,False,
57917921,0.032706122502388,ULTRA_SHORT,53,cross_listed,0.032705468379938,0.0327075616638845,0.032706,1.6e-05,Unknown,direct,3.7455491092068867e-06,True,
288296337,0.279742585338556,SHORT,38,cross_listed,0.279539020956666,0.279664445569829,0.559322,0.00486,Unknown,harmonic_2x,0.000291644328864959,False,2.0
377099704,0.494700079175733,SHORT,33,cross_listed,0.494266725449771,0.494706942816871,0.493448,0.00378,Unknown,direct,0.0025309864065904525,False,
424870548,0.0567462029196086,ULTRA_SHORT,58,cross_listed,0.0567357519859795,0.0567407670463136,0.056738,4.9e-05,Unknown,direct,0.0001445545109022414,True,
229404121,0.49815766376136,SHORT,50,cross_listed,0.498306439856866,0.498726363427095,0.498519,0.00384,Unknown,direct,0.0007253451365411151,True,
459192460,0.307858110604754,SHORT,41,cross_listed,0.307982168480405,0.308151661793108,0.616163,0.00593,Unknown,harmonic_2x,0.0007256245249059592,False,2.0
425447475,0.0613600098195655,ULTRA_SHORT,55,published,0.0613590157846084,0.0613654223590478,0.061363,5.6e-05,Unknown,direct,4.873174634904537e-05,True,
468424445,0.0436616765944067,ULTRA_SHORT,53,published,0.0436670914220396,0.0436686724563485,0.043668,2.7e-05,Unknown,direct,0.0001448273654728972,True,
345143254,0.0450595806817977,ULTRA_SHORT,53,published,0.045064979575048,0.0450682429720622,0.045067,3.1e-05,Unknown,direct,0.0001646557311462834,True,
